요양기관명,종별코드명,시도코드명,시군구코드,시군구코드명,주소,좌표(X),좌표(Y)
(복지)예사랑병원,정신병원,부산,210006,부산서구,"부산광역시 서구 옥천로130번길 38, (아미동2가)",129.0133103,35.0973247
(사)대한결핵협회부산광역시지부 복십자의원,의원,부산,210001,부산남구,"부산광역시 남구 수영로 299, (대연동)",129.0988754,35.1371668
(사)대한산업보건협회남부산의원,의원,부산,210012,부산강서구,"부산광역시 강서구 명지오션시티9로 21, 4층 (명지동)",128.8992233,35.0885623
(사)인구보건복지협회 부산시지회 가족보건의원,의원,부산,210014,부산수영구,"부산광역시 수영구 수영로 425, (남천동)",129.1089758,35.1441223
(사)한국한센복지협회부산지부 부설복지의원,의원,부산,210010,부산사하구,"부산광역시 사하구 다대로 263, 5층 501호 (장림동)",128.9777379,35.0788382
(의) 열린의료재단 서면열린의원,의원,부산,210004,부산진구,"부산광역시 부산진구 중앙대로 749, 5층 (부전동)",129.060166,35.159633
(의) 열린의료재단 연산열린의원,의원,부산,210013,부산연제구,"부산광역시 연제구 중앙대로 1091, 제세빌딩 3,7층 (연산동)",129.0806502,35.1854186
(의)삼세의료재단 몸사랑내과의원,의원,부산,210007,부산영도구,"부산광역시 영도구 절영로 30, 삼세메디컬센터 4,5(일부),6 층 (대교동1가)",129.0392387,35.0919114
(의)삼세의료재단 삼세한의원,한의원,부산,210007,부산영도구,"부산광역시 영도구 절영로 30, 삼세메디컬센터 5층일부,7~11층 (대교동1가)",129.0392387,35.0919114
(의)서일의료재단기장병원,병원,부산,210100,부산기장군,"부산광역시 기장군 기장읍 대청로72번길 6-6, 6",129.2169211,35.2357991
(의)소명의료재단한빛사랑의원,의원,부산,210007,부산영도구,"부산광역시 영도구 태종로 135, (봉래동3가)",129.0440698,35.0920732
(의)손재림의료재단 부산손한의원,한의원,부산,210001,부산남구,"부산광역시 남구 신선로 428, (용당동, 동명대학교 산학협력관 지하1층)",129.1016625,35.1220654
(의)영님의료재단 개금중앙요양병원,요양병원,부산,210004,부산진구,"부산광역시 부산진구 개금온정로 5, 지하1,지상3층 (개금동, 성원상떼뷰)",129.0247268,35.153754
(의)피터의료재단새소망요양병원,요양병원,부산,210100,부산기장군,"부산광역시 기장군 기장읍 기장해안로 552, (기장읍)",129.226905,35.2228262
(재)원불교부산원광한의원,한의원,부산,210004,부산진구,"부산광역시 부산진구 가야대로 767-1, (부전동)",129.0556427,35.1580254
(재)일신기독교선교회 정관일신기독병원,병원,부산,210100,부산기장군,"부산광역시 기장군 정관읍 정관6로 31, 3-8, 10층",129.1774513,35.3197034
1945김근치과의원,치과의원,부산,210004,부산진구,"부산광역시 부산진구 가야대로 767-1, 5층 (부전동, 원광메디컬센터)",129.0556427,35.1580254
2080치과의원,치과의원,부산,210005,부산북구,"부산광역시 북구 시랑로 75, 2층 (구포동)",129.0059903,35.1991276
2080치과의원,치과의원,부산,210009,부산해운대구,"부산광역시 해운대구 아랫반송로 12, 2층 (반송동, 서울메디컬센터)",129.1471653,35.2253583
21세기치과의원,치과의원,부산,210009,부산해운대구,"부산광역시 해운대구 해운대로 814, B동 424호 (좌동, 세종월드)",129.1776778,35.1695768
365늘봄한의원,한의원,부산,210003,부산동래구,"부산광역시 동래구 석사로 5, 3층 (사직동)",129.0606783,35.1980634
365늘푸른한의원,한의원,부산,210004,부산진구,"부산광역시 부산진구 중앙대로 751, 부전메디컬빌딩 1,6,13층 (부전동)",129.0603055,35.1597576
365대연더편한마취통증의학과의원,의원,부산,210001,부산남구,"부산광역시 남구 못골로 87, 303,304호 (대연동)",129.0920138,35.1361106
365동백한의원,한의원,부산,210009,부산해운대구,"부산광역시 해운대구 해운대로 663, 에이동 209호 (우동, 해운대비스타동원)",129.1621496,35.1660123
365류내과의원,의원,부산,210004,부산진구,"부산광역시 부산진구 중앙대로 907, 5,6층 (양정동)",129.0696485,35.1713977
365부부한의원,한의원,부산,210100,부산기장군,"부산광역시 기장군 일광면 해빛로 17, 201호",129.2260207,35.2663011
365사직성모의원,의원,부산,210003,부산동래구,"부산광역시 동래구 사직북로 6, 2층 (사직동)",129.0609901,35.1965299
365석치과의원,치과의원,부산,210008,부산중구,"부산광역시 중구 해관로 1, (동광동1가, 한국투자증권(주) 부산사옥)",129.0356778,35.0989754
365안락한치과의원,치과의원,부산,210003,부산동래구,"부산광역시 동래구 충렬대로 353, 1~2층 일부호 (안락동)",129.0974971,35.1985923
365엠씨람스에스씨의원,의원,부산,210009,부산해운대구,"부산광역시 해운대구 센텀2로 20, 센텀타워메디컬 1403호 (우동)",129.1320258,35.1671978
365엠씨병원,병원,부산,210004,부산진구,"부산광역시 부산진구 서면로 74, (부전동, 아이온시티빌딩)",129.0581339,35.1570677
365일건강가정의학과의원,의원,부산,210002,부산동구,"부산광역시 동구 망양로 893-1, (범일동)",129.0487995,35.1402929
365텐텐이비인후과의원,의원,부산,210012,부산강서구,"부산광역시 강서구 명지국제8로 233, 3층 (명지동)",128.9182894,35.0985301
365편안한 치과의원,치과의원,부산,210013,부산연제구,"부산광역시 연제구 중앙대로 1113, 진보빌딩 3층 (연산동)",129.0810928,35.1869791
365하하병원,병원,부산,210012,부산강서구,"부산광역시 강서구 명지오션시티4로 88, 3~7층 (명지동)",128.9032539,35.0811721
365행복담은의원,의원,부산,210014,부산수영구,"부산광역시 수영구 황령대로489번길 24, 4층 (남천동)",129.1086027,35.1390857
365효플란트치과의원,치과의원,부산,210010,부산사하구,"부산광역시 사하구 낙동대로 466, 4층 (하단동)",128.9687251,35.1064241
59디지털치과의원,치과의원,부산,210014,부산수영구,"부산광역시 수영구 수영로 693, BNK 수영타워 5층 501호 (수영동)",129.1154764,35.1679024
7내과의원,의원,부산,210013,부산연제구,"부산광역시 연제구 중앙대로 1112, 7층 (연산동)",129.0817393,35.1868365
88경희한의원,한의원,부산,210010,부산사하구,"부산광역시 사하구 장림번영로 25, 2층 201호 (장림동)",128.9682126,35.0809885
99서울소아청소년과의원,의원,부산,210003,부산동래구,"부산광역시 동래구 금강로 91, 지상 4~6층 (온천동)",129.0783665,35.2171501
ABC성형외과의원,의원,부산,210004,부산진구,"부산광역시 부산진구 가야대로 769, ABC메디컬센터 11층 (부전동)",129.0557793,35.1580057
ABC안과의원,의원,부산,210004,부산진구,"부산광역시 부산진구 가야대로 769, ABC메디컬센터 1, 2층 (부전동)",129.0557793,35.1580057
BH대학효요양병원,요양병원,부산,210006,부산서구,"부산광역시 서구 구덕로 164-7, (토성동3가)",129.020361,35.0996073
