요양기관명,종별코드명,시도코드명,시군구코드,시군구코드명,주소,좌표(X),좌표(Y)
365열린연합의원,의원,세종시,410000,세종시,"세종특별자치시 마음로 74, 302.303호 (고운동, 그랜드프라자)",127.2340604,36.50531
가온한의원,한의원,세종시,410000,세종시,"세종특별자치시 한누리대로 492, 청암홈빌딩 306호 (어진동)",127.2622919,36.5073947
강남 더 뷰티 성형외과의원,의원,세종시,410000,세종시,"세종특별자치시 한누리대로 169, 스타벅스 행복타워 303호,305호,308호 (나성동)",127.2618223,36.4802343
강남세종치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 마음로 264, 고운프라자 2층 205호 (고운동)",127.2346888,36.5193249
강남세종한방병원,한방병원,세종시,410000,세종시,"세종특별자치시 한누리대로 2275, 알파메디컬센터 4~6층 (대평동)",127.2763919,36.4715494
강남치과의원,치과의원,세종시,410000,세종시,"세종특별자치시  금남면 용포로 63, 2층",127.280587,36.4643919
건강한가족의원,의원,세종시,410000,세종시,"세종특별자치시 보듬3로 8-12, 101-2.102호 (도담동, 라온프라이빗시티1상가)",127.2587803,36.5134339
경희고운한의원,한의원,세종시,410000,세종시,"세종특별자치시 마음로 264, 301층 (고운동, 고운프라자)",127.2346888,36.5193249
경희바른몸한의원,한의원,세종시,410000,세종시,"세종특별자치시 한누리대로 2022, 504호,505호 (소담동, 아크레타 아이콤스타타워)",127.2991555,36.4844894
경희부부한의원,한의원,세종시,410000,세종시,"세종특별자치시 절재로 194, 중앙타운 302(일부)호 (어진동)",127.2624604,36.5082343
경희으뜸한의원,한의원,세종시,410000,세종시,"세종특별자치시 다정중앙로 51, 더다정빌딩 2층 203호 (다정동)",127.248559,36.4949999
경희일구한의원,한의원,세종시,410000,세종시,"세종특별자치시 조치원읍 새내로 88-2, (조치원읍)",127.2985786,36.5996206
경희피어라한의원,한의원,세종시,410000,세종시,"세종특별자치시 아름서1길 13-12, 세종 제이디빌딩 203호 (아름동)",127.243243,36.5116515
경희한의원,한의원,세종시,410000,세종시,"세종특별자치시 한누리대로 583, 도담센트럴프라자 403호 (도담동)",127.2584602,36.5152951
계림한의원,한의원,세종시,410000,세종시,"세종특별자치시 다정중앙로 58, 다정메디프라자 403호 (다정동)",127.2492274,36.495625
고명철정형외과의원,의원,세종시,410000,세종시,"세종특별자치시 조치원읍 새내로 77, 77",127.298413,36.598657
고운마음한의원,한의원,세종시,410000,세종시,"세종특별자치시 고운서길 19, 304호 (고운동, 스마트큐브1)",127.2339799,36.5058406
고운맘소아청소년과의원,의원,세종시,410000,세종시,"세종특별자치시 마음로 70, 304호 (고운동, 에셀프라자)",127.2343732,36.5050816
고운소아청소년과의원,의원,세종시,410000,세종시,"세종특별자치시 남세종로 454, 405호 (보람동, 강남제일타워)",127.2897062,36.477252
곰돌이 소아청소년과의원,의원,세종시,410000,세종시,"세종특별자치시 달빛로 47, 302호 (종촌동, 종촌파크프라자)",127.2499068,36.5031568
광제중국한의원,한의원,세종시,410000,세종시,"세종특별자치시 조치원읍 조치원로 42, 2층",127.3015029,36.6014752
굿모닝가정의학과의원,의원,세종시,410000,세종시,"세종특별자치시 조치원읍 으뜸길 208, 208",127.2970559,36.6008024
굿제이산부인과의원,의원,세종시,410000,세종시,"세종특별자치시 절재로 194, 중앙타운 303호 (어진동)",127.2624604,36.5082343
금강한의원,한의원,세종시,410000,세종시,"세종특별자치시 조치원읍 조치원로 22, 4층",127.2991293,36.6011976
금남면보건지소,보건지소,세종시,410000,세종시,"세종특별자치시 금남면 용포로 59, (금남면)",127.2805402,36.464115
금동치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 새롬중앙로 62-15, 505호 (새롬동, 해피라움W)",127.251249,36.486926
금빛한의원,한의원,세종시,410000,세종시,"세종특별자치시 조치원읍 조치원4길 16, 1층",127.2986292,36.6007113
김내과의원,의원,세종시,410000,세종시,"세종특별자치시 조치원읍 새내로 98, 98",127.2986031,36.6005673
김만주정성치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 소담1로 16, 지엘플렉스2 404호 (소담동)",127.3011073,36.4845761
김승환이비인후과의원,의원,세종시,410000,세종시,"세종특별자치시 조치원읍 새내로 88-1, 88",127.2986527,36.5997257
김종열한의원,한의원,세종시,410000,세종시,"세종특별자치시 한누리대로 2275, 알파메디컬센터 3층 312,313호 (대평동)",127.2763919,36.4715494
김진용치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 조치원읍 조치원로 22, 22",127.2991293,36.6011976
꿈담소아청소년과의원,의원,세종시,410000,세종시,"세종특별자치시 마음로 264, 고운프라자 2층 201-1호, 201-2호 (고운동)",127.2346888,36.5193249
나은정형외과의원,의원,세종시,410000,세종시,"세종특별자치시 보듬3로 143, 502,503호 (아름동, 대영프라자)",127.2436211,36.5116275
