요양기관명,종별코드명,시도코드명,시군구코드,시군구코드명,주소,좌표(X),좌표(Y)
(의) 열린의료재단 정다운의원,의원,전남,360400,순천시,"전라남도 순천시 봉화3길 14, 4~5층 (조례동)",127.5199811,34.9632557
(재)대한불교관음종 참조은의원,의원,전남,360300,목포시,"전라남도 목포시 산정로 166, 더벨류넘버3 2~5층 (용당동)",126.3925066,34.8033743
(주)LG화학부속의원,의원,전남,360500,여수시,"전라남도 여수시 여수산단2로 55, LG화학(주) (화치동)",127.6524013,34.8039602
100년재생의원,의원,전남,360300,목포시,"전라남도 목포시 용당로 211, (용당동)",126.3979131,34.8058741
21세기치과교정과치과의원,치과의원,전남,360500,여수시,"전라남도 여수시 여서로 162, (여서동)",127.6997306,34.7478656
21세기하나내과의원,의원,전남,360300,목포시,"전라남도 목포시 백년대로 291, (상동)",126.419575,34.803998
365 에이스치과의원,치과의원,전남,360009,무안군,"전라남도 무안군 삼향읍 남악3로 56, 4층 401호",126.4606986,34.810509
365굿모닝한방병원,한방병원,전남,360700,광양시,"전라남도 광양시 광양읍 대림오성로 61-0, (광양읍)",127.5695321,34.9675564
365금손약손한의원,한의원,전남,360500,여수시,"전라남도 여수시 대치3길 5, 3층 (여서동)",127.6997883,34.7476794
365마디척한의원,한의원,전남,360200,나주시,"전라남도 나주시 우정로 106, B동 113호 (빛가람동)",126.7917871,35.0233879
365매일한방병원,한방병원,전남,360300,목포시,"전라남도 목포시 하당로 253-0,  (상동)",126.4237367,34.8102773
365서울탑플란트치과의원,치과의원,전남,360400,순천시,"전라남도 순천시 팔마로 205, 8층 801호 (덕암동, LG전자)",127.5093028,34.9414039
365연합의원,의원,전남,360500,여수시,"전라남도 여수시 시청로 46, 2, 3, 4, 5층 (학동)",127.6632306,34.7656587
365열린의원,의원,전남,360021,해남군,"전라남도 해남군 해남읍 중앙2로 151, 151",126.5946643,34.5660779
365차한의원,한의원,전남,360500,여수시,"전라남도 여수시 여서로 156-1, 여수신협 2층 (여서동)",127.6989867,34.7479758
e-편한치과의원,치과의원,전남,360500,여수시,"전라남도 여수시 여서로 168, 3층 (여서동)",127.7001907,34.7482378
e플란트치과의원,치과의원,전남,360009,무안군,"전라남도 무안군 삼향읍 남악2로74번길 39, 301, 302호 (광일프라자)",126.4592078,34.8130693
GS칼텍스(주)부속의원,의원,전남,360500,여수시,"전라남도 여수시  여수산단로 1083-101, (월내동)",127.7268161,34.8616825
